Category,Resolved Path,Chat Count,Gemini Hash,Clue Path (if unmatched)
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm/2024/09/11,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm/2024/09/13,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm/2024/09/13.2,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm/2024/09/14,1,N/A,
aider,/home/mstouffer/repos/prs/markdown-to-form/.aider.tags.cache.v3,1,N/A,
aider,/home/mstouffer/repos/prs/roadmap-promotion,1,N/A,
aider,/home/mstouffer/repos/prs/roadmap-website,1,N/A,
gemini,/home/mstouffer/repos/AgentForge,0,70ea2b8549304f7c763c789ed121baa5f6d0d63af387747bd887dd4805cbe90d,
gemini,/home/mstouffer/repos/chatarch,4,679e35967cd6de5cbbc122af7d8a07d79d0fc227be58f1c9cc4d868577c9d186,
gemini,/home/mstouffer/repos/company-cli,339,1496789ea6c6970e19958ca79e8769c734a1f78c54df5ec94e089e1ac14d7f09,
gemini,/home/mstouffer/repos/grid-learner,9,27fb4111ca026829d7e13c160e889723ae5db6c7be142040a0b6d14a3ec41062,
gemini,/home/mstouffer/repos/image-annex,6,fb934aa938db8a405c5f636537771da6d4f69b680b87e52596e3cb5bf1115214,
gemini,/home/mstouffer/repos/keytee,2,b38a1b5ff2aa1e594c63803bc11a07a37341c2ac2985fa9b959f25ddf0a7770f,
gemini,/home/mstouffer/repos/mutt-setup,19,bbbdc70760651954722044d5be4a7b93f19c276196e1938c5fc30ac3bca14e2a,
gemini,/home/mstouffer/repos/my-strudel,1,2d901f3369f1d18713efc7f0935ccb054bc094cae5219b2bc285eeb0d98455d3,
gemini,/home/mstouffer/repos/optifi,2,aa60c4a823c1a5534c56dda129a26b66b116695c394cb1d3a47f90174d97b369,
gemini,/home/mstouffer/repos/strudel,4,92ab501d32d7bf1c239b17a5a8ffccd13117759c179c9492158956ed22bffcbc,
gemini,/home/mstouffer/repos/turboheatweldingtools/homepage,3,ddd4bb8489d531685cd44d7de5a626215dcd13bdc4fdb61787ff142dbb47f66b,
gemini,/home/mstouffer/repos/turboheatweldingtools/quickbooks-search,59,f270ce9e4ad867137c77a2c3f53014ff2934b482aad72cb05aeaefdb26685625,
gemini,/home/mstouffer/repos/turboheatweldingtools/turboship,81,2729a3d72b184fcbd55aea93867211aa8d725adbefa96695a79fd87cec7578c9,
gemini,UNMATCHED,0,9b6007263f76fa4fb246324987af60091514bd039152a041f937e9b370621acb,
gemini,UNMATCHED,7,da26c8e556dea54d926cea39d02a48b4fea2846c19d801642974a34600f25d34,
gemini,UNMATCHED,1,b982a88838e6b2c75005fd2c71a498dfe18f3800bcc3917e868d21df0bbdb34a,
gemini,UNMATCHED,0,1a4a9ed3172aa7eb851bdaff9315b3d5b8e2293b95e6af6f6087f0eb0041c920,
gemini,UNMATCHED,0,00609fce35b45ee9fc2d681e0992b2adb987660ba664ed424d16e77e34129595,
gemini,UNMATCHED,2,ec6cc292e386d5fbb55ca990856edd8c796bfb6403a9e690dabc87ae9e4f42a3,
gemini,UNMATCHED,36,733647532b967382e1e12a3b8819b7d10d353a306f5fc8990bd39d71a8c0a004,
gemini,UNMATCHED,0,66184d45dfd498fa204c083f6b030355a690aeeee13bf0ad907c22d5046130c3,
gemini,UNMATCHED,1,9d9f7958fa6ffd2117434d512f5cf914b5ca578c68eba6667fdadcf79be1db25,
gemini,UNMATCHED,36,a811607002491378f0bedc9accb6436a45cd16345d078f4a5883ebd038c01827,
gemini,UNMATCHED,0,cf66c1729d0873f0923040ed110d36ba6e214c67bbb01cc474cfd0259dbeb636,
gemini,UNMATCHED,2,2a4736edeb9c30a68db7f9915ada513d927824a92134ecb6648c0717c7f8e23c,
gemini,UNMATCHED,2,28700e65fb90de670b43fec1694c2c7cc17c895297a9bbb4913456ad470a0491,
gemini,UNMATCHED,0,115e0da6deb04ccb2a8904a3d4cca82999f65fe3f6336bed7e255d2d47cdbfe6,
gemini,UNMATCHED,14,6eb0fa472d18bacc9bea1f848815a0fb9f14ee07cbb4d5f09abb11482e8e75fc,
roo,/home/mstouffer/.vscode-server-insiders/data/User/globalStorage/rooveterinaryinc.roo-cline,440,N/A,
roo,/home/mstouffer/.vscode-server/data/User/globalStorage/rooveterinaryinc.roo-cline,187,N/A,
roo,/home/mstouffer/repos/AgentForge,1,N/A,
roo,/home/mstouffer/repos/GitHub/RooVeGit/Roo-Code,4,N/A,
roo,/home/mstouffer/repos/GitHub/RooVetGit/Roo-Code,8,N/A,
roo,/home/mstouffer/repos/GitHub/aichat,4,N/A,
roo,/home/mstouffer/repos/company-cli,29,N/A,
roo,/home/mstouffer/repos/democratism,23,N/A,
roo,/home/mstouffer/repos/handterm-proj/handterm,16,N/A,
roo,/home/mstouffer/repos/image-annex,17,N/A,
roo,/home/mstouffer/repos/mutt-setup,1,N/A,
roo,/home/mstouffer/repos/n8n-kubernetes-hosting,8,N/A,
roo,/home/mstouffer/repos/prs/auto-start-stop-ec2,10,N/A,
roo,/home/mstouffer/repos/prs/roadmap-iac,12,N/A,
roo,/home/mstouffer/repos/prs/roadmap-pipeline,1,N/A,
roo,/home/mstouffer/repos/prs/roadmap-website,79,N/A,
roo,/home/mstouffer/repos/roo-conf,13,N/A,
roo,/home/mstouffer/repos/social-worker,8,N/A,
roo,/home/mstouffer/repos/turboheatweldingtools/shopify-theme-refresh,3,N/A,
roo,/home/mstouffer/repos/turboheatweldingtools/turbo-webhook,225,N/A,
roo,/home/mstouffer/repos/turboheatweldingtools/turboship,3,N/A,
roo,/home/mstouffer/repos/youtube-step-function,4,N/A,
